"color","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","imdb_binary"
"Color",500,132,905,1000,34000,146405371,518537,50983,3,698,"PG-13",1.6e+08,2011,13000,7.8,2.35,54000,1
"Color",389,137,508,14000,34000,281666058,166137,81385,1,383,"PG-13",1.6e+08,2015,22000,6.6,2.35,38000,1
"Color",235,109,226,370,12000,63143812,124185,13388,0,238,"PG",1.5e+08,2010,418,6.1,2.35,11000,1
"Color",231,98,249,702,87000,60655503,82380,92456,0,629,"PG-13",1.6e+08,2006,2000,5.6,2.35,0,0
"Color",218,113,33,11000,40000,76846624,21352,80806,1,131,"PG",1.7e+08,2016,25000,6.4,1.85,30000,1
"Color",227,93,50,692,3000,320706665,211971,4705,2,326,"PG",1.6e+08,2007,795,6.1,1.85,0,1
"Color",275,123,0,648,3000,46978995,111609,5505,0,781,"PG-13",1.6e+08,2016,716,7.3,2.35,89000,1
"Color",474,126,230,2000,24000,89732035,188457,38873,2,867,"PG-13",1.55e+08,2015,10000,6.6,2.35,82000,1
"Color",228,113,150,59,531,104383624,106446,764,4,227,"PG",1.55e+08,2010,82,6.3,1.78,11000,1
" Black and White",191,184,0,691,3000,198539855,254111,5401,0,1999,"PG-13",1.4e+08,2001,961,6.1,2.35,0,1
"Color",396,144,0,581,662,318759914,513158,2333,0,1782,"PG-13",1.5e+08,2007,599,7.1,2.35,8000,1
"Color",248,206,0,591,12000,34293771,138863,24598,3,1390,"R",1.55e+08,2004,11000,5.5,2.35,0,0
"Color",329,138,282,687,21000,292000866,355137,33433,3,1108,"PG-13",1.5e+08,2007,11000,7.5,2.35,0,1
"Color",295,157,179,10000,21000,289994397,385670,53413,1,1896,"PG-13",1.5e+08,2005,11000,7.6,2.35,0,1
"Color",318,102,532,979,10000,227946274,343648,21584,0,590,"PG-13",1.5e+08,2008,9000,6.4,2.35,0,1
"Color",323,104,508,558,10000,256386216,530870,13076,0,1413,"PG-13",1.5e+08,2007,1000,7.2,2.35,11000,1
"Color",276,115,13000,588,40000,206456431,320284,57844,3,1361,"PG",1.5e+08,2005,16000,6.7,1.85,0,1
"Color",318,111,663,954,1000,206435493,473887,4764,0,626,"G",1.5e+08,2007,1000,8,2.35,10000,1
"Color",478,128,22000,11000,23000,205343774,980946,59558,0,2685,"PG-13",1.5e+08,2005,14000,8.3,2.35,15000,1
"Color",167,89,35,436,1000,179982968,146019,3285,0,119,"PG",1.5e+08,2008,851,6.7,1.85,0,1
"Color",185,105,189,1000,49000,177243721,130272,54039,2,209,"PG",1.5e+08,2009,3000,5.9,2.35,2000,0
"Color",350,119,151,2000,20000,179883016,361924,40054,0,641,"PG-13",1.5e+08,2009,16000,6.7,2.35,0,1
"Color",245,129,0,233,309,139259759,364948,1062,0,2121,"R",1.5e+08,2003,269,6.7,2.35,0,1
